company, one_line_description, score, justification
Vulcan Elements,"Onshore US manufacturer of rare earth magnets for aerospace, defense and critical technologies (Durham/Benson, NC).",4,"Sells a strategic input to defense and industrial buyers backed by Pentagon contracts and ~$1B in government-linked financing for a new factory; strong demand pull from China supply-chain risk, but very capital-intensive with manufacturing-level margins."
HomeVision,"AI collateral-underwriting platform (MIRA) that automates appraisal review for mortgage lenders.",4,"B2B SaaS embedded in lender workflows (claims 80% faster review, 2M+ loans processed) gives sticky, usage-linked recurring revenue; revenue is exposed to cyclical mortgage origination volume."
Compyl,"Integrated governance, risk and compliance (GRC) platform automating SOC2/ISO/HIPAA/NIST compliance and vendor risk.",4,"Subscription B2B SaaS with high switching costs once controls and evidence live in the platform; $12M Series A (2025) but competes in a crowded category (Vanta, Drata, OneTrust)."
Upscale.ai,"Open-standard AI networking stack (scale-up switching silicon/systems + network OS) for AI data centers.",4,"High-ASP hardware plus software sold into the fastest-growing capex category; $500M+ raised at ~$2B valuation with Nvidia backing, but capital-intensive and up against Broadcom, Nvidia and Cisco."
Toothio,"Dental workforce platform connecting practices/DSOs with on-demand and permanent dental staff, now adding an AI recruiting agent (Mel).",3,"Two-sided staffing marketplace earns a take rate on shifts/placements; network effects and a move toward SaaS for DSOs help, but staffing margins are thin and supply acquisition is costly."
Handspring Health,"Pediatric and young-adult mental health clinic delivering in-network therapy and psychiatry via telehealth and in-person clinics.",3,"Insurance-reimbursed care with strong demand (mental health is the top-funded digital health area), but it employs its clinicians, so revenue scales roughly linearly with headcount at services-level margins."
Ryse Marketplace,"Secondary marketplace where real estate operators sell lease cash flows to institutional investors (YC W24).",3,"Transaction-fee marketplace addressing a large ($1.5T/yr US lease) market with a novel asset class; still early with the classic two-sided liquidity problem to solve."
Workgrounds,"AI agent ('Worky') that sources, negotiates and manages hotel room blocks for corporate offsites and group travel.",3,"Asset-light, free-to-start/pay-on-booking model with good logos (Ramp, Block, SeatGeek); revenue is episodic per event and ticket sizes are modest, limiting recurring revenue."
SunRay Scientific,"NJ advanced electronic materials company making patented ZTACH ACE conductive adhesives, conductive inks and encapsulants for electronics packaging.",3,"Patent-protected specialty materials can earn good gross margins, but long design-in cycles and a niche market explain slow growth (~16 staff after 14 years)."
Kintra Fibers,"Bio-based, compostable PBS polymer and yarn positioned as a drop-in replacement for polyester in apparel.",2,"Strategic brand backing (H&M Group, Bestseller, Inditex pilots) but pre-scale; must reach cost parity with commodity polyester and needs large manufacturing capex before revenue scales."
Adrich,"IoT 'smart label' platform that tracks real-world product consumption for CPG brands and triggers auto-replenishment.",2,"Hardware-per-unit plus data platform model has pilots with Clorox, Colgate and Tyson, but after ~10 years and ~$3.6M raised it remains ~12 people, suggesting slow enterprise adoption and unit-cost friction."
Regenosine,"Jersey City biotech developing adenosine-based regenerative therapies to regrow cartilage in osteoarthritis (NYU spinout).",2,"Pre-revenue therapeutic with a binary, long, capital-intensive regulatory path; the model is essentially a future licensing or acquisition, with a large prize if the drug works."
